instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,timestamp,hour_sin,hour_cos,month_sin,month_cos
7573,2011-11-17,4,0,11,3,0,4,1,2,0.42,0.4242,0.77,0.3284,0,3,3,2011-11-17 03:00:00,0.7071067811865476,0.7071067811865476,-0.5000000000000004,0.8660254037844384
7574,2011-11-17,4,0,11,4,0,4,1,2,0.4,0.4091,0.62,0.4179,1,3,4,2011-11-17 04:00:00,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
7575,2011-11-17,4,0,11,5,0,4,1,3,0.34,0.303,0.71,0.3284,1,21,22,2011-11-17 05:00:00,0.9659258262890683,0.25881904510252074,-0.5000000000000004,0.8660254037844384
7576,2011-11-17,4,0,11,6,0,4,1,3,0.36,0.3485,0.57,0.2239,3,72,75,2011-11-17 06:00:00,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384
7577,2011-11-17,4,0,11,7,0,4,1,3,0.34,0.3182,0.61,0.2836,4,164,168,2011-11-17 07:00:00,0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384
7578,2011-11-17,4,0,11,8,0,4,1,3,0.34,0.303,0.61,0.2985,12,343,355,2011-11-17 08:00:00,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384
7579,2011-11-17,4,0,11,9,0,4,1,2,0.34,0.303,0.61,0.3284,14,184,198,2011-11-17 09:00:00,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384
7580,2011-11-17,4,0,11,10,0,4,1,2,0.34,0.303,0.61,0.3284,7,74,81,2011-11-17 10:00:00,0.49999999999999994,-0.8660254037844387,-0.5000000000000004,0.8660254037844384
7581,2011-11-17,4,0,11,11,0,4,1,3,0.32,0.303,0.66,0.3284,4,93,97,2011-11-17 11:00:00,0.258819045102521,-0.9659258262890682,-0.5000000000000004,0.8660254037844384
7582,2011-11-17,4,0,11,12,0,4,1,2,0.34,0.303,0.53,0.2985,6,115,121,2011-11-17 12:00:00,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384
7583,2011-11-17,4,0,11,13,0,4,1,2,0.34,0.303,0.49,0.4478,15,109,124,2011-11-17 13:00:00,-0.2588190451025208,-0.9659258262890683,-0.5000000000000004,0.8660254037844384
7584,2011-11-17,4,0,11,14,0,4,1,2,0.34,0.303,0.49,0.3881,5,105,110,2011-11-17 14:00:00,-0.4999999999999997,-0.8660254037844388,-0.5000000000000004,0.8660254037844384
7585,2011-11-17,4,0,11,15,0,4,1,2,0.34,0.303,0.49,0.4478,10,106,116,2011-11-17 15:00:00,-0.7071067811865471,-0.7071067811865479,-0.5000000000000004,0.8660254037844384
7586,2011-11-17,4,0,11,16,0,4,1,1,0.32,0.2879,0.39,0.4179,8,187,195,2011-11-17 16:00:00,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384
7587,2011-11-17,4,0,11,17,0,4,1,1,0.32,0.2879,0.42,0.3881,20,379,399,2011-11-17 17:00:00,-0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384
7588,2011-11-17,4,0,11,18,0,4,1,1,0.32,0.3182,0.39,0.194,9,298,307,2011-11-17 18:00:00,-1.0,-1.8369701987210297e-16,-0.5000000000000004,0.8660254037844384
7589,2011-11-17,4,0,11,19,0,4,1,1,0.3,0.2879,0.45,0.2239,7,210,217,2011-11-17 19:00:00,-0.9659258262890684,0.2588190451025203,-0.5000000000000004,0.8660254037844384
7590,2011-11-17,4,0,11,20,0,4,1,1,0.3,0.2879,0.42,0.2836,7,162,169,2011-11-17 20:00:00,-0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
7591,2011-11-17,4,0,11,21,0,4,1,1,0.3,0.2879,0.42,0.2537,3,113,116,2011-11-17 21:00:00,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384
7592,2011-11-17,4,0,11,22,0,4,1,1,0.26,0.2424,0.52,0.2537,1,83,84,2011-11-17 22:00:00,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384
7593,2011-11-17,4,0,11,23,0,4,1,1,0.26,0.2576,0.52,0.2239,0,58,58,2011-11-17 23:00:00,-0.25881904510252157,0.9659258262890681,-0.5000000000000004,0.8660254037844384
7594,2011-11-18,4,0,11,0,0,5,1,1,0.26,0.2576,0.48,0.1642,2,28,30,2011-11-18 00:00:00,0.0,1.0,-0.5000000000000004,0.8660254037844384
7595,2011-11-18,4,0,11,1,0,5,1,1,0.26,0.2273,0.44,0.3284,0,10,10,2011-11-18 01:00:00,0.25881904510252074,0.9659258262890683,-0.5000000000000004,0.8660254037844384
7596,2011-11-18,4,0,11,2,0,5,1,1,0.24,0.2273,0.44,0.2239,2,8,10,2011-11-18 02:00:00,0.49999999999999994,0.8660254037844387,-0.5000000000000004,0.8660254037844384
7597,2011-11-18,4,0,11,3,0,5,1,1,0.24,0.2121,0.41,0.2836,0,2,2,2011-11-18 03:00:00,0.7071067811865476,0.7071067811865476,-0.5000000000000004,0.8660254037844384
7598,2011-11-18,4,0,11,4,0,5,1,1,0.22,0.2273,0.44,0.1642,0,5,5,2011-11-18 04:00:00,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
7599,2011-11-18,4,0,11,5,0,5,1,1,0.22,0.2273,0.44,0.1343,0,22,22,2011-11-18 05:00:00,0.9659258262890683,0.25881904510252074,-0.5000000000000004,0.8660254037844384
7600,2011-11-18,4,0,11,6,0,5,1,1,0.22,0.2576,0.44,0.0896,1,70,71,2011-11-18 06:00:00,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384
7601,2011-11-18,4,0,11,7,0,5,1,1,0.22,0.2273,0.44,0.1642,5,211,216,2011-11-18 07:00:00,0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384
7602,2011-11-18,4,0,11,8,0,5,1,1,0.22,0.2273,0.44,0.194,6,369,375,2011-11-18 08:00:00,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384
7603,2011-11-18,4,0,11,9,0,5,1,1,0.26,0.2576,0.41,0.194,6,207,213,2011-11-18 09:00:00,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384
7604,2011-11-18,4,0,11,10,0,5,1,1,0.26,0.2424,0.41,0.2836,10,105,115,2011-11-18 10:00:00,0.49999999999999994,-0.8660254037844387,-0.5000000000000004,0.8660254037844384
7605,2011-11-18,4,0,11,11,0,5,1,1,0.3,0.303,0.36,0.1343,18,122,140,2011-11-18 11:00:00,0.258819045102521,-0.9659258262890682,-0.5000000000000004,0.8660254037844384
7606,2011-11-18,4,0,11,12,0,5,1,1,0.32,0.3333,0.33,0.0,22,143,165,2011-11-18 12:00:00,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384
7607,2011-11-18,4,0,11,13,0,5,1,1,0.34,0.3182,0.31,0.2239,31,146,177,2011-11-18 13:00:00,-0.2588190451025208,-0.9659258262890683,-0.5000000000000004,0.8660254037844384
7608,2011-11-18,4,0,11,14,0,5,1,1,0.34,0.3333,0.31,0.1343,31,123,154,2011-11-18 14:00:00,-0.4999999999999997,-0.8660254037844388,-0.5000000000000004,0.8660254037844384
7609,2011-11-18,4,0,11,15,0,5,1,1,0.34,0.3333,0.29,0.1343,27,151,178,2011-11-18 15:00:00,-0.7071067811865471,-0.7071067811865479,-0.5000000000000004,0.8660254037844384
7610,2011-11-18,4,0,11,16,0,5,1,1,0.34,0.3333,0.29,0.1343,19,190,209,2011-11-18 16:00:00,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384
7611,2011-11-18,4,0,11,17,0,5,1,1,0.32,0.3333,0.31,0.1343,17,361,378,2011-11-18 17:00:00,-0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384
7612,2011-11-18,4,0,11,18,0,5,1,1,0.3,0.303,0.36,0.1642,16,312,328,2011-11-18 18:00:00,-1.0,-1.8369701987210297e-16,-0.5000000000000004,0.8660254037844384
7613,2011-11-18,4,0,11,19,0,5,1,1,0.28,0.2727,0.41,0.1642,7,183,190,2011-11-18 19:00:00,-0.9659258262890684,0.2588190451025203,-0.5000000000000004,0.8660254037844384
7614,2011-11-18,4,0,11,20,0,5,1,1,0.28,0.2727,0.48,0.194,8,129,137,2011-11-18 20:00:00,-0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
7615,2011-11-18,4,0,11,21,0,5,1,1,0.28,0.2727,0.48,0.1642,3,108,111,2011-11-18 21:00:00,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384
7616,2011-11-18,4,0,11,22,0,5,1,1,0.26,0.2727,0.52,0.1045,9,88,97,2011-11-18 22:00:00,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384
7617,2011-11-18,4,0,11,23,0,5,1,1,0.26,0.2727,0.6,0.1343,5,54,59,2011-11-18 23:00:00,-0.25881904510252157,0.9659258262890681,-0.5000000000000004,0.8660254037844384
7618,2011-11-19,4,0,11,0,0,6,0,1,0.26,0.2576,0.56,0.194,4,49,53,2011-11-19 00:00:00,0.0,1.0,-0.5000000000000004,0.8660254037844384
7619,2011-11-19,4,0,11,1,0,6,0,1,0.26,0.2273,0.52,0.2985,1,34,35,2011-11-19 01:00:00,0.25881904510252074,0.9659258262890683,-0.5000000000000004,0.8660254037844384
7620,2011-11-19,4,0,11,2,0,6,0,1,0.24,0.2424,0.56,0.1642,12,34,46,2011-11-19 02:00:00,0.49999999999999994,0.8660254037844387,-0.5000000000000004,0.8660254037844384
7621,2011-11-19,4,0,11,3,0,6,0,1,0.26,0.2424,0.48,0.2537,4,11,15,2011-11-19 03:00:00,0.7071067811865476,0.7071067811865476,-0.5000000000000004,0.8660254037844384
7622,2011-11-19,4,0,11,4,0,6,0,1,0.26,0.2273,0.48,0.3284,4,4,8,2011-11-19 04:00:00,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
7623,2011-11-19,4,0,11,5,0,6,0,1,0.24,0.2273,0.56,0.2537,0,2,2,2011-11-19 05:00:00,0.9659258262890683,0.25881904510252074,-0.5000000000000004,0.8660254037844384
7624,2011-11-19,4,0,11,6,0,6,0,1,0.24,0.2121,0.6,0.3284,2,10,12,2011-11-19 06:00:00,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384
7625,2011-11-19,4,0,11,7,0,6,0,1,0.24,0.2273,0.6,0.2537,3,38,41,2011-11-19 07:00:00,0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384
7626,2011-11-19,4,0,11,8,0,6,0,1,0.26,0.2424,0.56,0.2537,12,80,92,2011-11-19 08:00:00,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384
7627,2011-11-19,4,0,11,9,0,6,0,1,0.28,0.2576,0.52,0.2985,12,130,142,2011-11-19 09:00:00,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384
7628,2011-11-19,4,0,11,10,0,6,0,1,0.32,0.303,0.45,0.2537,35,165,200,2011-11-19 10:00:00,0.49999999999999994,-0.8660254037844387,-0.5000000000000004,0.8660254037844384
7629,2011-11-19,4,0,11,11,0,6,0,1,0.36,0.3788,0.4,0.0,50,183,233,2011-11-19 11:00:00,0.258819045102521,-0.9659258262890682,-0.5000000000000004,0.8660254037844384
7630,2011-11-19,4,0,11,12,0,6,0,1,0.4,0.4091,0.35,0.2836,93,218,311,2011-11-19 12:00:00,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384
7631,2011-11-19,4,0,11,13,0,6,0,1,0.42,0.4242,0.3,0.2836,118,245,363,2011-11-19 13:00:00,-0.2588190451025208,-0.9659258262890683,-0.5000000000000004,0.8660254037844384
7632,2011-11-19,4,0,11,14,0,6,0,1,0.42,0.4242,0.32,0.2985,121,228,349,2011-11-19 14:00:00,-0.4999999999999997,-0.8660254037844388,-0.5000000000000004,0.8660254037844384
7633,2011-11-19,4,0,11,15,0,6,0,1,0.42,0.4242,0.41,0.194,120,262,382,2011-11-19 15:00:00,-0.7071067811865471,-0.7071067811865479,-0.5000000000000004,0.8660254037844384
7634,2011-11-19,4,0,11,16,0,6,0,1,0.42,0.4242,0.38,0.2985,99,188,287,2011-11-19 16:00:00,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384
7635,2011-11-19,4,0,11,17,0,6,0,1,0.4,0.4091,0.4,0.194,61,171,232,2011-11-19 17:00:00,-0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384
7636,2011-11-19,4,0,11,18,0,6,0,1,0.38,0.3939,0.46,0.1343,36,172,208,2011-11-19 18:00:00,-1.0,-1.8369701987210297e-16,-0.5000000000000004,0.8660254037844384
7637,2011-11-19,4,0,11,19,0,6,0,2,0.34,0.3333,0.71,0.1343,33,149,182,2011-11-19 19:00:00,-0.9659258262890684,0.2588190451025203,-0.5000000000000004,0.8660254037844384
7638,2011-11-19,4,0,11,20,0,6,0,2,0.36,0.3636,0.57,0.1045,48,115,163,2011-11-19 20:00:00,-0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
7639,2011-11-19,4,0,11,21,0,6,0,2,0.36,0.3485,0.62,0.194,29,79,108,2011-11-19 21:00:00,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384
7640,2011-11-19,4,0,11,22,0,6,0,2,0.38,0.3939,0.62,0.1642,26,80,106,2011-11-19 22:00:00,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384
7641,2011-11-19,4,0,11,23,0,6,0,1,0.38,0.3939,0.62,0.2239,20,73,93,2011-11-19 23:00:00,-0.25881904510252157,0.9659258262890681,-0.5000000000000004,0.8660254037844384
7642,2011-11-20,4,0,11,0,0,0,0,1,0.38,0.3939,0.66,0.1642,14,79,93,2011-11-20 00:00:00,0.0,1.0,-0.5000000000000004,0.8660254037844384
7643,2011-11-20,4,0,11,1,0,0,0,1,0.4,0.4091,0.62,0.2537,11,73,84,2011-11-20 01:00:00,0.25881904510252074,0.9659258262890683,-0.5000000000000004,0.8660254037844384
7644,2011-11-20,4,0,11,2,0,0,0,1,0.4,0.4091,0.62,0.2836,12,44,56,2011-11-20 02:00:00,0.49999999999999994,0.8660254037844387,-0.5000000000000004,0.8660254037844384
7645,2011-11-20,4,0,11,3,0,0,0,2,0.4,0.4091,0.66,0.2836,6,31,37,2011-11-20 03:00:00,0.7071067811865476,0.7071067811865476,-0.5000000000000004,0.8660254037844384
7646,2011-11-20,4,0,11,4,0,0,0,2,0.4,0.4091,0.71,0.2836,2,10,12,2011-11-20 04:00:00,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
7647,2011-11-20,4,0,11,5,0,0,0,2,0.42,0.4242,0.67,0.2836,0,4,4,2011-11-20 05:00:00,0.9659258262890683,0.25881904510252074,-0.5000000000000004,0.8660254037844384
7648,2011-11-20,4,0,11,6,0,0,0,2,0.42,0.4242,0.67,0.2537,3,6,9,2011-11-20 06:00:00,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384
7649,2011-11-20,4,0,11,7,0,0,0,1,0.42,0.4242,0.67,0.2239,4,19,23,2011-11-20 07:00:00,0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384
7650,2011-11-20,4,0,11,8,0,0,0,2,0.42,0.4242,0.71,0.2836,13,52,65,2011-11-20 08:00:00,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384
7651,2011-11-20,4,0,11,9,0,0,0,1,0.44,0.4394,0.72,0.1642,29,109,138,2011-11-20 09:00:00,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384
7652,2011-11-20,4,0,11,10,0,0,0,2,0.44,0.4394,0.72,0.1045,46,183,229,2011-11-20 10:00:00,0.49999999999999994,-0.8660254037844387,-0.5000000000000004,0.8660254037844384
7653,2011-11-20,4,0,11,11,0,0,0,2,0.5,0.4848,0.63,0.1045,74,212,286,2011-11-20 11:00:00,0.258819045102521,-0.9659258262890682,-0.5000000000000004,0.8660254037844384
7654,2011-11-20,4,0,11,12,0,0,0,2,0.5,0.4848,0.63,0.1343,70,234,304,2011-11-20 12:00:00,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384
7655,2011-11-20,4,0,11,13,0,0,0,2,0.54,0.5152,0.6,0.194,84,285,369,2011-11-20 13:00:00,-0.2588190451025208,-0.9659258262890683,-0.5000000000000004,0.8660254037844384
7656,2011-11-20,4,0,11,14,0,0,0,1,0.52,0.5,0.63,0.2537,113,250,363,2011-11-20 14:00:00,-0.4999999999999997,-0.8660254037844388,-0.5000000000000004,0.8660254037844384
7657,2011-11-20,4,0,11,15,0,0,0,2,0.52,0.5,0.68,0.194,109,242,351,2011-11-20 15:00:00,-0.7071067811865471,-0.7071067811865479,-0.5000000000000004,0.8660254037844384
7658,2011-11-20,4,0,11,16,0,0,0,2,0.52,0.5,0.63,0.1343,81,225,306,2011-11-20 16:00:00,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384
7659,2011-11-20,4,0,11,17,0,0,0,2,0.52,0.5,0.63,0.194,35,168,203,2011-11-20 17:00:00,-0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384
7660,2011-11-20,4,0,11,18,0,0,0,2,0.54,0.5152,0.64,0.194,22,123,145,2011-11-20 18:00:00,-1.0,-1.8369701987210297e-16,-0.5000000000000004,0.8660254037844384
7661,2011-11-20,4,0,11,19,0,0,0,2,0.5,0.4848,0.72,0.1045,17,140,157,2011-11-20 19:00:00,-0.9659258262890684,0.2588190451025203,-0.5000000000000004,0.8660254037844384
7662,2011-11-20,4,0,11,20,0,0,0,2,0.52,0.5,0.68,0.1045,23,90,113,2011-11-20 20:00:00,-0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
7663,2011-11-20,4,0,11,21,0,0,0,2,0.48,0.4697,0.77,0.0896,11,94,105,2011-11-20 21:00:00,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384
7664,2011-11-20,4,0,11,22,0,0,0,3,0.46,0.4545,0.88,0.0896,5,35,40,2011-11-20 22:00:00,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384
7665,2011-11-20,4,0,11,23,0,0,0,3,0.46,0.4545,0.88,0.0896,3,25,28,2011-11-20 23:00:00,-0.25881904510252157,0.9659258262890681,-0.5000000000000004,0.8660254037844384
7666,2011-11-21,4,0,11,0,0,1,1,2,0.46,0.4545,0.94,0.0,4,13,17,2011-11-21 00:00:00,0.0,1.0,-0.5000000000000004,0.8660254037844384
7667,2011-11-21,4,0,11,1,0,1,1,3,0.46,0.4545,0.94,0.194,4,8,12,2011-11-21 01:00:00,0.25881904510252074,0.9659258262890683,-0.5000000000000004,0.8660254037844384
7668,2011-11-21,4,0,11,2,0,1,1,3,0.44,0.4394,1.0,0.194,1,2,3,2011-11-21 02:00:00,0.49999999999999994,0.8660254037844387,-0.5000000000000004,0.8660254037844384
7669,2011-11-21,4,0,11,3,0,1,1,3,0.44,0.4394,1.0,0.1343,0,4,4,2011-11-21 03:00:00,0.7071067811865476,0.7071067811865476,-0.5000000000000004,0.8660254037844384
7670,2011-11-21,4,0,11,4,0,1,1,3,0.44,0.4394,1.0,0.1343,0,5,5,2011-11-21 04:00:00,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
7671,2011-11-21,4,0,11,5,0,1,1,2,0.44,0.4394,1.0,0.0,0,20,20,2011-11-21 05:00:00,0.9659258262890683,0.25881904510252074,-0.5000000000000004,0.8660254037844384
7672,2011-11-21,4,0,11,6,0,1,1,2,0.42,0.4242,1.0,0.0,0,76,76,2011-11-21 06:00:00,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384
7673,2011-11-21,4,0,11,7,0,1,1,2,0.46,0.4545,0.94,0.1642,17,229,246,2011-11-21 07:00:00,0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384
7674,2011-11-21,4,0,11,8,0,1,1,2,0.46,0.4545,0.94,0.0,13,378,391,2011-11-21 08:00:00,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384
7675,2011-11-21,4,0,11,9,0,1,1,2,0.48,0.4697,0.94,0.1045,15,222,237,2011-11-21 09:00:00,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384
7676,2011-11-21,4,0,11,10,0,1,1,2,0.52,0.5,0.83,0.0,25,110,135,2011-11-21 10:00:00,0.49999999999999994,-0.8660254037844387,-0.5000000000000004,0.8660254037844384
7677,2011-11-21,4,0,11,11,0,1,1,2,0.52,0.5,0.83,0.1045,16,112,128,2011-11-21 11:00:00,0.258819045102521,-0.9659258262890682,-0.5000000000000004,0.8660254037844384
7678,2011-11-21,4,0,11,12,0,1,1,2,0.5,0.4848,0.77,0.1343,24,138,162,2011-11-21 12:00:00,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384
7679,2011-11-21,4,0,11,13,0,1,1,2,0.5,0.4848,0.77,0.1343,13,121,134,2011-11-21 13:00:00,-0.2588190451025208,-0.9659258262890683,-0.5000000000000004,0.8660254037844384
7680,2011-11-21,4,0,11,14,0,1,1,2,0.48,0.4697,0.82,0.194,14,121,135,2011-11-21 14:00:00,-0.4999999999999997,-0.8660254037844388,-0.5000000000000004,0.8660254037844384
7681,2011-11-21,4,0,11,15,0,1,1,3,0.44,0.4394,0.94,0.2239,15,93,108,2011-11-21 15:00:00,-0.7071067811865471,-0.7071067811865479,-0.5000000000000004,0.8660254037844384
7682,2011-11-21,4,0,11,16,0,1,1,3,0.44,0.4394,0.94,0.2239,13,95,108,2011-11-21 16:00:00,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384
7683,2011-11-21,4,0,11,17,0,1,1,3,0.42,0.4242,0.94,0.2985,10,200,210,2011-11-21 17:00:00,-0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384
7684,2011-11-21,4,0,11,18,0,1,1,3,0.42,0.4242,0.88,0.194,8,184,192,2011-11-21 18:00:00,-1.0,-1.8369701987210297e-16,-0.5000000000000004,0.8660254037844384
7685,2011-11-21,4,0,11,19,0,1,1,3,0.4,0.4091,0.94,0.194,2,135,137,2011-11-21 19:00:00,-0.9659258262890684,0.2588190451025203,-0.5000000000000004,0.8660254037844384
7686,2011-11-21,4,0,11,20,0,1,1,3,0.4,0.4091,0.87,0.2239,5,75,80,2011-11-21 20:00:00,-0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
7687,2011-11-21,4,0,11,21,0,1,1,3,0.4,0.4091,0.87,0.1642,11,103,114,2011-11-21 21:00:00,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384
7688,2011-11-21,4,0,11,22,0,1,1,3,0.4,0.4091,0.87,0.1343,6,72,78,2011-11-21 22:00:00,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384
7689,2011-11-21,4,0,11,23,0,1,1,3,0.4,0.4091,0.87,0.1642,4,29,33,2011-11-21 23:00:00,-0.25881904510252157,0.9659258262890681,-0.5000000000000004,0.8660254037844384
7690,2011-11-22,4,0,11,0,0,2,1,3,0.38,0.3939,0.94,0.1045,0,14,14,2011-11-22 00:00:00,0.0,1.0,-0.5000000000000004,0.8660254037844384
7691,2011-11-22,4,0,11,1,0,2,1,3,0.4,0.4091,0.94,0.1343,1,5,6,2011-11-22 01:00:00,0.25881904510252074,0.9659258262890683,-0.5000000000000004,0.8660254037844384
7692,2011-11-22,4,0,11,2,0,2,1,3,0.38,0.3939,1.0,0.1045,2,4,6,2011-11-22 02:00:00,0.49999999999999994,0.8660254037844387,-0.5000000000000004,0.8660254037844384
7693,2011-11-22,4,0,11,3,0,2,1,3,0.38,0.3939,1.0,0.1045,1,2,3,2011-11-22 03:00:00,0.7071067811865476,0.7071067811865476,-0.5000000000000004,0.8660254037844384
7694,2011-11-22,4,0,11,4,0,2,1,3,0.38,0.3939,0.94,0.1642,0,7,7,2011-11-22 04:00:00,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
7695,2011-11-22,4,0,11,5,0,2,1,3,0.38,0.3939,0.94,0.1642,1,17,18,2011-11-22 05:00:00,0.9659258262890683,0.25881904510252074,-0.5000000000000004,0.8660254037844384
7696,2011-11-22,4,0,11,6,0,2,1,2,0.38,0.3939,0.94,0.1045,1,63,64,2011-11-22 06:00:00,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384
7697,2011-11-22,4,0,11,7,0,2,1,3,0.38,0.3939,0.94,0.2239,2,119,121,2011-11-22 07:00:00,0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384
7698,2011-11-22,4,0,11,8,0,2,1,3,0.38,0.3939,0.94,0.2239,5,185,190,2011-11-22 08:00:00,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384
7699,2011-11-22,4,0,11,9,0,2,1,3,0.4,0.4091,0.94,0.0,2,147,149,2011-11-22 09:00:00,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384
7700,2011-11-22,4,0,11,10,0,2,1,3,0.4,0.4091,0.94,0.0,6,46,52,2011-11-22 10:00:00,0.49999999999999994,-0.8660254037844387,-0.5000000000000004,0.8660254037844384
7701,2011-11-22,4,0,11,11,0,2,1,3,0.4,0.4091,0.94,0.1343,4,28,32,2011-11-22 11:00:00,0.258819045102521,-0.9659258262890682,-0.5000000000000004,0.8660254037844384
7702,2011-11-22,4,0,11,12,0,2,1,3,0.4,0.4091,1.0,0.0896,3,18,21,2011-11-22 12:00:00,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384
7703,2011-11-22,4,0,11,13,0,2,1,3,0.42,0.4242,1.0,0.0896,4,22,26,2011-11-22 13:00:00,-0.2588190451025208,-0.9659258262890683,-0.5000000000000004,0.8660254037844384
7704,2011-11-22,4,0,11,14,0,2,1,3,0.42,0.4242,1.0,0.0896,4,31,35,2011-11-22 14:00:00,-0.4999999999999997,-0.8660254037844388,-0.5000000000000004,0.8660254037844384
7705,2011-11-22,4,0,11,15,0,2,1,3,0.44,0.4394,0.94,0.0,2,32,34,2011-11-22 15:00:00,-0.7071067811865471,-0.7071067811865479,-0.5000000000000004,0.8660254037844384
7706,2011-11-22,4,0,11,16,0,2,1,3,0.44,0.4394,0.94,0.0,3,59,62,2011-11-22 16:00:00,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384
7707,2011-11-22,4,0,11,17,0,2,1,3,0.44,0.4394,1.0,0.0896,4,161,165,2011-11-22 17:00:00,-0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384
7708,2011-11-22,4,0,11,18,0,2,1,3,0.44,0.4394,1.0,0.0,0,148,148,2011-11-22 18:00:00,-1.0,-1.8369701987210297e-16,-0.5000000000000004,0.8660254037844384
7709,2011-11-22,4,0,11,19,0,2,1,3,0.46,0.4545,0.94,0.1045,5,106,111,2011-11-22 19:00:00,-0.9659258262890684,0.2588190451025203,-0.5000000000000004,0.8660254037844384
7710,2011-11-22,4,0,11,20,0,2,1,2,0.46,0.4545,1.0,0.2239,6,121,127,2011-11-22 20:00:00,-0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
7711,2011-11-22,4,0,11,21,0,2,1,2,0.46,0.4545,1.0,0.2537,4,86,90,2011-11-22 21:00:00,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384
